OBJECTID,ROAD_NUMBER,ROAD_NAME,DIRECTION,ELEMENTS,SURFACE_TYPE,NUMBER_OF_TRAFFIC_LANES,LEFT_SHOULDER_WIDTH,TRAFFIC_WIDTH,RIGHT_SHOULDER_WIDTH,SEAL_WIDTH
245,2400,STATE (BELL/SPRINGVALE) HWY,F, L1+L2+L3+L4,A,4,0,12.1,0,12.1
12578,2520,WESTERN HWY,F, L1+SL+SR+L2+L3,S,3,1.6,10.7,1.7,14
9276,2500,PRINCES HWY,F, L1+SL+SR+L2+L3+RT1+LT1R,S,3,1.5,11.8,1.5,14.8
6018,2510,PRINCES HWY,R, L1+L2+L3+L4+RT1,A,4,0,13.5,0,13.5
2251,2040,MELTON HWY,R, L1+L2+RT1+RT2+LT1+LBL,A,2,0,7.1,0,7.1
12579,2530,CALDER HWY,F, L1+SL+SR+L2+ROF1+ROF2+ROFSHL+ROFSHR,S,2,3.2,7.2,1.2,11.6
246,2060,NORTH ROAD HWY,F, L1+L2+RT1,U,2,0,7.4,0,7.4
14273,2520,WESTERN HWY,R, L1+SL+SR+L2+RON1+ROF1+RON2+RONSHL+ROF2,S,2,3.1,7.4,1.5,12
6019,2510,PRINCES HWY,F, L1+L2+L3+L4,A,4,0,12,0,12
9277,2500,PRINCES HWY,F, L1+SL+SR+L3,A,2,1.5,8,1.5,11
2252,2050,STATE (LOWER DANDENONG/CHELTENHAM) HWY,R, L1+L2+L3+RT1+RT2+LBL+TL,A,4,0,14.7,0,14.7
14274,2550,HUME HWY,F, L1+SL+SR+L2,S,2,3.2,7.6,1.5,12.2
247,2040,MELTON HWY,R, L1+L2+L3+LBL,A,3,0,10.5,0,10.5
12580,2550,HUME HWY,F, L1+L2+RT1+LT1,S,2,0,7.6,0,7.6
6020,2500,PRINCES HWY,R, L1+SL+SR+L2+L3+RON1+RONSHL,A,3,3,10.6,2.5,16.1
9278,2510,PRINCES HWY,F, L1+SL+SR+L2+RON1+ROF2,S,2,3.4,7,1.8,12.2
2253,2140,PLENTY VALLEY HWY,F, L1+L2,U,2,0,7.2,0,7.2
14275,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,1.8,7,1.4,10.2
12581,2500,PRINCES HWY,F, L1+SL+L2+RT1R,S,2,1.5,7.6,0,9.1
9279,2500,PRINCES HWY,F, L1+SL+SR+L2+LT1,S,2,1,7,1,9
